,문서 번호,리뷰 데이터,Token,가장 비중이 높은 토픽,가장 높은 토픽의 비중,각 토픽의 비중
487,487,너무 상견니인디,['상견'],1,0.5192,"[(0, 0.019230802), (1, 0.51922995), (2, 0.019230802), (3, 0.019230802), (4, 0.019230802), (5, 0.019230802), (6, 0.019230802), (7, 0.019230802), (8, 0.019230802), (9, 0.019230802), (10, 0.019230802), (11, 0.019230802), (12, 0.019230802), (13, 0.019230802), (14, 0.019230802), (15, 0.019230802), (16, 0.019230802), (17, 0.019230802), (18, 0.019230802), (19, 0.019230802), (20, 0.019230802), (21, 0.019230802), (22, 0.019230802), (23, 0.019230802), (24, 0.019230802), (25, 0.019230802)]"
488,488,검증된 무기의 반복이더라도 소비자의 니즈를 충실히 충족시켜주는 아르헨 로벤의 감아차기.,"['검증', '무기', '반복', '소비자', '니즈', '충족', '아르', '로벤']",13,0.5192,"[(0, 0.019230802), (1, 0.019230802), (2, 0.019230802), (3, 0.019230802), (4, 0.019230802), (5, 0.019230802), (6, 0.019230802), (7, 0.019230802), (8, 0.019230802), (9, 0.019230802), (10, 0.019230802), (11, 0.019230802), (12, 0.019230802), (13, 0.51922995), (14, 0.019230802), (15, 0.019230802), (16, 0.019230802), (17, 0.019230802), (18, 0.019230802), (19, 0.019230802), (20, 0.019230802), (21, 0.019230802), (22, 0.019230802), (23, 0.019230802), (24, 0.019230802), (25, 0.019230802)]"
489,489,선재보려고봄,['선재'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
490,490,"매우 유치하지만 생각보다 정말 잘 만들어서 놀람
선업튀선업튀 하길래 재밌나? 하고 호기심에 봤더니
나도 언제부턴가 선재앓이","['생각', '놀람', '선업', '선업', '호기심', '선재']",15,0.6795,"[(0, 0.012820521), (1, 0.012820521), (2, 0.012820521), (3, 0.012820521), (4, 0.012820521), (5, 0.012820521), (6, 0.012820521), (7, 0.012820521), (8, 0.012820521), (9, 0.012820521), (10, 0.012820521), (11, 0.012820521), (12, 0.012820521), (13, 0.012820521), (14, 0.012820521), (15, 0.67948693), (16, 0.012820521), (17, 0.012820521), (18, 0.012820521), (19, 0.012820521), (20, 0.012820521), (21, 0.012820521), (22, 0.012820521), (23, 0.012820521), (24, 0.012820521), (25, 0.012820521)]"
491,491,"이걸!!!! 너무 늦게봤지만 지금이라도 본게 너무 좋았다.

학교 배경으로 보고 안보기로 걸렀는데
타임슬립이 나온다고해서 미루고미루다가 보개된 선재 ㅠㅠㅠ 변우석한테 빠질수밖에 없구나..

연기를 둘다 너무 잘 한다ㅜ
일부 회차는 실망했다고들 하는데 보는내내 후반부로 갈수록 눈물만 ㅠㅠ 내가 마음이 아파서 정말 가슴을 쳤던 ㅠㅠㅠㅠㅠ 울지마 선재야 ㅜㅜ ㅋㅋㅋㅋㅋㅋㅋ

생각보다 과거ㅡ현재ㅡ미래 전부 다 짜임새있게 잘 만들었다. 중간에 오글거리는 한국 로맨스 클리셰가 있어서 정말.. ㅋㅋㅋㅋㅋㅋㅋㅋ힘들었지만. 그거 빼고 뭐ㅋㅋ

마지막화까지 보면 내가 이클립스 팬이 된듯 하다. 노래를 다 외움 ㅋㅋㅋㅋ","['지금', '학교', '배경', '타임', '슬립', '보개', '선재', '변우석', '연기', '회차', '실망', '후반부', '눈물', '마음', '가슴', '울지마', '선재', '생각', '과거', '짜임새', '중간', '한국', '로맨스', '클리셰', '마지막', '이클립스', '노래']",10,0.9434,"[(10, 0.9434375)]"
492,492,"시간을 넘나들며 서로를 애타게 그리워하고, 죽음을 각오할 정도로 사랑하는 이런 장르 안 좋아하는 법을 몰라요..","['시간', '서로', '죽음', '각오', '정도', '사랑', '장르']",9,0.8397,"[(9, 0.83974135)]"
493,493,"손발이 오그라들었는데 2화 엔딩이 다림질 해줬다.
그리고 배우들 연기가 엔딩까지 이끌었다.","['손발', '엔딩', '다림질', '배우', '연기', '엔딩']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
494,494,오랜만에 재밌게 본 로맨스 🥹,"['오랜만', '로맨스']",5,0.5192,"[(0, 0.019230789), (1, 0.019230789), (2, 0.019230789), (3, 0.019230789), (4, 0.019230789), (5, 0.51923025), (6, 0.019230789), (7, 0.019230789), (8, 0.019230789), (9, 0.019230789), (10, 0.019230789), (11, 0.019230789), (12, 0.019230789), (13, 0.019230789), (14, 0.019230789), (15, 0.019230789), (16, 0.019230789), (17, 0.019230789), (18, 0.019230789), (19, 0.019230789), (20, 0.019230789), (21, 0.019230789), (22, 0.019230789), (23, 0.019230789), (24, 0.019230789), (25, 0.019230789)]"
495,495,사랑이 뭐길래 이렇게까지,['사랑'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
496,496,"드라마가 축포같다.
큰 소리와 반짝임만을 위한 조각들을 이어붙인 느낌","['드라마', '축포', '소리', '임만', '조각', '느낌']",22,0.6795,"[(0, 0.012820638), (1, 0.012820638), (2, 0.012820638), (3, 0.012820638), (4, 0.012820638), (5, 0.012820638), (6, 0.012820638), (7, 0.012820638), (8, 0.012820638), (9, 0.012820638), (10, 0.012820638), (11, 0.012820638), (12, 0.012820638), (13, 0.012820638), (14, 0.012820638), (15, 0.012820638), (16, 0.012820638), (17, 0.012820638), (18, 0.012820638), (19, 0.012820638), (20, 0.012820638), (21, 0.012820638), (22, 0.67948407), (23, 0.012820638), (24, 0.012820638), (25, 0.012820638)]"
497,497,12부 이후로 (?),['이후'],15,0.5192,"[(0, 0.019230809), (1, 0.019230809), (2, 0.019230809), (3, 0.019230809), (4, 0.019230809), (5, 0.019230809), (6, 0.019230809), (7, 0.019230809), (8, 0.019230809), (9, 0.019230809), (10, 0.019230809), (11, 0.019230809), (12, 0.019230809), (13, 0.019230809), (14, 0.019230809), (15, 0.51922977), (16, 0.019230809), (17, 0.019230809), (18, 0.019230809), (19, 0.019230809), (20, 0.019230809), (21, 0.019230809), (22, 0.019230809), (23, 0.019230809), (24, 0.019230809), (25, 0.019230809)]"
498,498,"동인녀 드라마라는 댓글 있었는데
진짜 맞는 것 같다","['동인', '드라마', '댓글']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
499,499,"오글거림마저 서사인 것 마냥 서로의 구원이 되는 솔x선재 영원히 행복하고 태성이는 더 행복해야해.

+) 벚꽃 잡는데 꽃잎 떼거지로 잡히는 거 개웃기네.","['서사', '서로', '구원', '선재', '행복', '태성', '행복', '벚꽃', '꽃잎', '떼거지', '기네']",15,0.3903,"[(0, 0.18623143), (9, 0.24653718), (15, 0.39030686)]"
500,500,용두사미. 모두 같은 구간에서 떨어져나갈 수 밖에 없음,"['용두사미', '구간']",25,0.5192,"[(0, 0.019230867), (1, 0.019230867), (2, 0.019230867), (3, 0.019230867), (4, 0.019230867), (5, 0.019230867), (6, 0.019230867), (7, 0.019230867), (8, 0.019230867), (9, 0.019230867), (10, 0.019230867), (11, 0.019230867), (12, 0.019230867), (13, 0.019230867), (14, 0.019230867), (15, 0.019230867), (16, 0.019230867), (17, 0.019230867), (18, 0.019230867), (19, 0.019230867), (20, 0.019230867), (21, 0.019230867), (22, 0.019230867), (23, 0.019230867), (24, 0.019230867), (25, 0.5192283)]"
501,501,"구라안치고류선재같은새끼들은너무위험해서감옥에넣어야됨
아니면여자들을제발좀안아주라고","['구라', '류선', '새끼', '위험', '감옥', '여자']",25,0.4393,"[(0, 0.012820586), (1, 0.012820586), (2, 0.012820586), (3, 0.012820586), (4, 0.012820586), (5, 0.012820586), (6, 0.012820586), (7, 0.012820586), (8, 0.012820586), (9, 0.012820586), (10, 0.25297663), (11, 0.012820586), (12, 0.012820586), (13, 0.012820586), (14, 0.012820586), (15, 0.012820586), (16, 0.012820586), (17, 0.012820586), (18, 0.012820586), (19, 0.012820586), (20, 0.012820586), (21, 0.012820586), (22, 0.012820586), (23, 0.012820586), (24, 0.012820586), (25, 0.43932933)]"
502,502,선재야~~,['재야'],17,0.5192,"[(0, 0.019230789), (1, 0.019230789), (2, 0.019230789), (3, 0.019230789), (4, 0.019230789), (5, 0.019230789), (6, 0.019230789), (7, 0.019230789), (8, 0.019230789), (9, 0.019230789), (10, 0.019230789), (11, 0.019230789), (12, 0.019230789), (13, 0.019230789), (14, 0.019230789), (15, 0.019230789), (16, 0.019230789), (17, 0.51923025), (18, 0.019230789), (19, 0.019230789), (20, 0.019230789), (21, 0.019230789), (22, 0.019230789), (23, 0.019230789), (24, 0.019230789), (25, 0.019230789)]"
503,503,진짜….티비보다가 심장이 덜덜 떨린다,"['티비', '심장']",5,0.5192,"[(0, 0.019230848), (1, 0.019230848), (2, 0.019230848), (3, 0.019230848), (4, 0.019230848), (5, 0.51922876), (6, 0.019230848), (7, 0.019230848), (8, 0.019230848), (9, 0.019230848), (10, 0.019230848), (11, 0.019230848), (12, 0.019230848), (13, 0.019230848), (14, 0.019230848), (15, 0.019230848), (16, 0.019230848), (17, 0.019230848), (18, 0.019230848), (19, 0.019230848), (20, 0.019230848), (21, 0.019230848), (22, 0.019230848), (23, 0.019230848), (24, 0.019230848), (25, 0.019230848)]"
504,504,덕후 망상 희망편,"['망상', '희망']",5,0.5192,"[(0, 0.019230857), (1, 0.019230857), (2, 0.019230857), (3, 0.019230857), (4, 0.019230857), (5, 0.5192285), (6, 0.019230857), (7, 0.019230857), (8, 0.019230857), (9, 0.019230857), (10, 0.019230857), (11, 0.019230857), (12, 0.019230857), (13, 0.019230857), (14, 0.019230857), (15, 0.019230857), (16, 0.019230857), (17, 0.019230857), (18, 0.019230857), (19, 0.019230857), (20, 0.019230857), (21, 0.019230857), (22, 0.019230857), (23, 0.019230857), (24, 0.019230857), (25, 0.019230857)]"
505,505,도무지 극에 동화되지 않는 살인마 때문에 두 사람의 사랑과 재미가 반감이 된다,"['동화', '살인마', '사람', '사랑', '재미', '반감']",2,0.5096,"[(2, 0.5096122), (7, 0.2596162)]"
506,506,선재야 덕분에 너무 행복했어,"['선재', '덕분', '행복']",4,0.5192,"[(0, 0.019230792), (1, 0.019230792), (2, 0.019230792), (3, 0.019230792), (4, 0.5192301), (5, 0.019230792), (6, 0.019230792), (7, 0.019230792), (8, 0.019230792), (9, 0.019230792), (10, 0.019230792), (11, 0.019230792), (12, 0.019230792), (13, 0.019230792), (14, 0.019230792), (15, 0.019230792), (16, 0.019230792), (17, 0.019230792), (18, 0.019230792), (19, 0.019230792), (20, 0.019230792), (21, 0.019230792), (22, 0.019230792), (23, 0.019230792), (24, 0.019230792), (25, 0.019230792)]"
507,507,몇살에 보든 류선재는 항상 내 첫사랑일듯..ㅠ,"['류선', '첫사랑']",25,0.3462,"[(0, 0.012820616), (1, 0.012820616), (2, 0.012820616), (3, 0.012820616), (4, 0.012820616), (5, 0.012820616), (6, 0.012820616), (7, 0.012820616), (8, 0.012820616), (9, 0.012820616), (10, 0.012820616), (11, 0.012820616), (12, 0.012820616), (13, 0.012820616), (14, 0.012820616), (15, 0.012820616), (16, 0.012820616), (17, 0.012820616), (18, 0.34615245), (19, 0.012820616), (20, 0.012820616), (21, 0.012820616), (22, 0.012820616), (23, 0.012820616), (24, 0.012820616), (25, 0.34615275)]"
508,508,늘어난 비디오 테이프처럼 질질질 끈다,"['비디오', '테이프']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
509,509,둘이 아주 미친 사랑을 한다,['사랑'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
510,510,잊을 때 쯤에 다시 한 번 보고싶은 드라마ㅠ,['드라마'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
511,511,"이거보는 승헌쓰 보는게 더 웃김ㅋㅋㅋㅋㅋ
드라마도 재밌다!!","['승헌', '드라마']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
512,512,마지막화 너무 오글거려서 다 못봤음,['마지막'],10,0.5192,"[(0, 0.01923079), (1, 0.01923079), (2, 0.01923079), (3, 0.01923079), (4, 0.01923079), (5, 0.01923079), (6, 0.01923079), (7, 0.01923079), (8, 0.01923079), (9, 0.01923079), (10, 0.5192302), (11, 0.01923079), (12, 0.01923079), (13, 0.01923079), (14, 0.01923079), (15, 0.01923079), (16, 0.01923079), (17, 0.01923079), (18, 0.01923079), (19, 0.01923079), (20, 0.01923079), (21, 0.01923079), (22, 0.01923079), (23, 0.01923079), (24, 0.01923079), (25, 0.01923079)]"
513,513,선재야 사랑해,"['선재', '사랑']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
514,514,"나도 이렇게 빠질지 몰랐는데 말이야....
일반적인 작품들과는 다르게 여주 입장 서사 남주입장 서사 골고루 다루어 주어서 너무 좋아!","['일반', '작품', '여주', '입장', '서사', '남주', '입장', '서사']",15,0.6298,"[(4, 0.25480834), (15, 0.629806)]"
515,515,내 배우 마멜공주 김혜윤 사랑해 솔이도 사랑한다 따흑,"['공주', '김혜윤', '사랑', '솔이', '사랑']",24,0.5192,"[(0, 0.019230884), (1, 0.019230884), (2, 0.019230884), (3, 0.019230884), (4, 0.019230884), (5, 0.019230884), (6, 0.019230884), (7, 0.019230884), (8, 0.019230884), (9, 0.019230884), (10, 0.019230884), (11, 0.019230884), (12, 0.019230884), (13, 0.019230884), (14, 0.019230884), (15, 0.019230884), (16, 0.019230884), (17, 0.019230884), (18, 0.019230884), (19, 0.019230884), (20, 0.019230884), (21, 0.019230884), (22, 0.019230884), (23, 0.019230884), (24, 0.51922786), (25, 0.019230884)]"
516,516,00회《시청완료》,"['시청', '완료']",4,0.5192,"[(0, 0.019231016), (1, 0.019231016), (2, 0.019231016), (3, 0.019231016), (4, 0.5192246), (5, 0.019231016), (6, 0.019231016), (7, 0.019231016), (8, 0.019231016), (9, 0.019231016), (10, 0.019231016), (11, 0.019231016), (12, 0.019231016), (13, 0.019231016), (14, 0.019231016), (15, 0.019231016), (16, 0.019231016), (17, 0.019231016), (18, 0.019231016), (19, 0.019231016), (20, 0.019231016), (21, 0.019231016), (22, 0.019231016), (23, 0.019231016), (24, 0.019231016), (25, 0.019231016)]"
517,517,요약 영상만 봤는데도 서사가 가슴 아프더라고요….,"['요약', '영상', '서사', '가슴']",3,0.7596,"[(3, 0.75960946)]"
518,518,그대는 선물 입니다,['선물'],0,0.5192,"[(0, 0.5192301), (1, 0.019230794), (2, 0.019230794), (3, 0.019230794), (4, 0.019230794), (5, 0.019230794), (6, 0.019230794), (7, 0.019230794), (8, 0.019230794), (9, 0.019230794), (10, 0.019230794), (11, 0.019230794), (12, 0.019230794), (13, 0.019230794), (14, 0.019230794), (15, 0.019230794), (16, 0.019230794), (17, 0.019230794), (18, 0.019230794), (19, 0.019230794), (20, 0.019230794), (21, 0.019230794), (22, 0.019230794), (23, 0.019230794), (24, 0.019230794), (25, 0.019230794)]"
519,519,그래서 범인의 목적이 뭐야?,"['범인', '목적']",0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
520,520,후반부 너무 눈물파티라 아쉽,"['후반부', '눈물', '파티']",5,0.3462,"[(0, 0.0128205875), (1, 0.34615263), (2, 0.0128205875), (3, 0.0128205875), (4, 0.0128205875), (5, 0.3461533), (6, 0.0128205875), (7, 0.0128205875), (8, 0.0128205875), (9, 0.0128205875), (10, 0.0128205875), (11, 0.0128205875), (12, 0.0128205875), (13, 0.0128205875), (14, 0.0128205875), (15, 0.0128205875), (16, 0.0128205875), (17, 0.0128205875), (18, 0.0128205875), (19, 0.0128205875), (20, 0.0128205875), (21, 0.0128205875), (22, 0.0128205875), (23, 0.0128205875), (24, 0.0128205875), (25, 0.0128205875)]"
521,521,"연출의 중요성을 강하게 느낀 드라마

변우석 배우님이 이렇게 잘생겼었나?","['연출', '중요', '드라마', '변우석', '배우']",6,0.6795,"[(0, 0.012820573), (1, 0.012820573), (2, 0.012820573), (3, 0.012820573), (4, 0.012820573), (5, 0.012820573), (6, 0.6794857), (7, 0.012820573), (8, 0.012820573), (9, 0.012820573), (10, 0.012820573), (11, 0.012820573), (12, 0.012820573), (13, 0.012820573), (14, 0.012820573), (15, 0.012820573), (16, 0.012820573), (17, 0.012820573), (18, 0.012820573), (19, 0.012820573), (20, 0.012820573), (21, 0.012820573), (22, 0.012820573), (23, 0.012820573), (24, 0.012820573), (25, 0.012820573)]"
522,522,김혜윤 작품 선정은 언제나 실패할 일은 없는 듯,"['김혜윤', '작품', '선정', '실패']",17,0.5192,"[(0, 0.019230792), (1, 0.019230792), (2, 0.019230792), (3, 0.019230792), (4, 0.019230792), (5, 0.019230792), (6, 0.019230792), (7, 0.019230792), (8, 0.019230792), (9, 0.019230792), (10, 0.019230792), (11, 0.019230792), (12, 0.019230792), (13, 0.019230792), (14, 0.019230792), (15, 0.019230792), (16, 0.019230792), (17, 0.5192301), (18, 0.019230792), (19, 0.019230792), (20, 0.019230792), (21, 0.019230792), (22, 0.019230792), (23, 0.019230792), (24, 0.019230792), (25, 0.019230792)]"
523,523,"한동안 미쳐살았음,,, 솔이가 아니었다면 선재도 없었을것. 개인적으로 중반부까지의 서사가 키포인트였고 뒤로 갈수록 개연성이나 시청자에게 설명이 좀 부족하지 않았나 싶음. 그래도 아는맛이 무섭다고 타임리프, 키차이, 얼굴합 등등 여러 클리셰들이 범벅되어서 끝까지 재미있게 볼 수 있었음","['한동안', '선재', '개인', '중반', '서사', '키포인트', '개연', '시청자', '설명', '부족', '타임', '리프', '차이', '얼굴', '클리셰', '범벅']",16,0.3273,"[(8, 0.07925184), (16, 0.3272909), (20, 0.27134156), (24, 0.2570242)]"
524,524,"잘생긴 남주가 반하기엔 몰입 깨지는 여주 외모,,
+ 중간중간 답답하고 지루한 전개
+ 잦은 클리셰지만

우석이 얼굴만 봐도 재밌고, 선재 아빠가 너무 웃기다 ㅠㅠㅋㅋ","['남주', '몰입', '여주', '외모', '전개', '클리셰', '우석', '얼굴', '선재', '아빠']",17,0.5859,"[(8, 0.19579552), (17, 0.5858907), (19, 0.12002108)]"
525,525,"모든 개연성이 다 맞아떨어지지는 않지만 오랜만에 재미난 스토리, 그리고 연출이 빛났다.","['개연', '오랜만', '스토리', '연출']",8,0.4068,"[(5, 0.20769246), (8, 0.40677983), (22, 0.20860352)]"
526,526,"현재 시점으로 돌아온 이후로 이상하게 안 봐진다..
언젠가 결말이 궁금해지면 다시 틀어볼 것..","['시점', '이후', '이상', '결말']",15,0.8077,"[(15, 0.8076889)]"
527,527,"이렇게나 설렐 수 있는거였나..! 왜 이제서야 봤을까??
정말 너무 심장뛰는 드라마 같이 웃고 같이 울고 같이 긴장했다..","['심장', '드라마', '긴장']",5,0.5192,"[(0, 0.019230848), (1, 0.019230848), (2, 0.019230848), (3, 0.019230848), (4, 0.019230848), (5, 0.51922876), (6, 0.019230848), (7, 0.019230848), (8, 0.019230848), (9, 0.019230848), (10, 0.019230848), (11, 0.019230848), (12, 0.019230848), (13, 0.019230848), (14, 0.019230848), (15, 0.019230848), (16, 0.019230848), (17, 0.019230848), (18, 0.019230848), (19, 0.019230848), (20, 0.019230848), (21, 0.019230848), (22, 0.019230848), (23, 0.019230848), (24, 0.019230848), (25, 0.019230848)]"
528,528,보고있으면 행복해지네요,['행복'],0,0.0385,"[(0, 0.03846154), (1, 0.03846154), (2, 0.03846154), (3, 0.03846154), (4, 0.03846154), (5, 0.03846154), (6, 0.03846154), (7, 0.03846154), (8, 0.03846154), (9, 0.03846154), (10, 0.03846154), (11, 0.03846154), (12, 0.03846154), (13, 0.03846154), (14, 0.03846154), (15, 0.03846154), (16, 0.03846154), (17, 0.03846154), (18, 0.03846154), (19, 0.03846154), (20, 0.03846154), (21, 0.03846154), (22, 0.03846154), (23, 0.03846154), (24, 0.03846154), (25, 0.03846154)]"
529,529,회차 하나하나 다 주옥 같앗다 진짜 소리 지르면서 봄,"['회차', '주옥', '소리']",0,0.3462,"[(0, 0.3461551), (1, 0.012820766), (2, 0.012820766), (3, 0.012820766), (4, 0.012820766), (5, 0.012820766), (6, 0.012820766), (7, 0.012820766), (8, 0.012820766), (9, 0.012820766), (10, 0.012820766), (11, 0.012820766), (12, 0.012820766), (13, 0.3461465), (14, 0.012820766), (15, 0.012820766), (16, 0.012820766), (17, 0.012820766), (18, 0.012820766), (19, 0.012820766), (20, 0.012820766), (21, 0.012820766), (22, 0.012820766), (23, 0.012820766), (24, 0.012820766), (25, 0.012820766)]"
530,530,"TV드라마의 한계이자 고민…
수익성을 위해 회차는 늘려야겠고, 할 얘기는 없고, 그러다보니 회상, 반복, 맥락없는 이야기로 빈 틈이 채워진다.

어쩔 수 없는 현실도 이해하지만 수년 간 발전하지 않는 질적성장이 씁쓸하다","['TV', '드라마', '한계', '고민', '수익', '회차', '얘기', '회상', '반복', '맥락', '이야기', '현실', '이해', '수년', '발전', '성장']",24,0.8626,"[(24, 0.86263525)]"
531,531,"선재신드롬 선업튀신드롬
ppl 하나 없이 기대작이 아니었던 드라마가 2화 방영 이후 커뮤니티에서부터 시작해 한국을 뒤흔들고 해외로까지 뻗어가 팝업스토어부터 막화 단관이벤트,대본집까지…
그야말로 2024년을 가장 대표할 수 있는 드라마가 아닐까 …
솔이의 그 사랑스럽고 밝은 모습은 솔이를 15년동안 사랑한 선재를 단번에 이해할 수 있게 만들어줬다.
어쩌면 흔한 회귀와 최애와의 러브스토리 라는 소재를 가지고 매 회차 우리에게 빈번한 충격을 선사해주었다 매 회차 엔딩이 정말 완벽했고 정말 좋았다 선재를 사랑하니 솔이까지 사랑하게 되었다. 선재를 살리는게 가장 중요했던 솔이의 그 간절함, 솔이를 구하는 본인의 선택을 단 한 번도 후회한적 없던 선재 …
서로가 서로를 구원하고 사랑하는 이 이야기를 도대체 어떻게 사랑하지 않을 수 있겠는가
선업튀와 함께 울고 웃고 행복했던 월요일 화요일은 내 평생 간직할 행복했던 시간이었다","['선재', '신드롬', '선업', '신드롬', 'ppl', '기대', '드라마', '방영', '이후', '커뮤니티', '시작', '한국', '해외', '팝업', '스토어', '단관', '벤트', '대표', '드라마', '솔이', '사랑', '모습', '동안', '사랑', '선재', '이해', '회귀', '최애', '러브', '스토리', '소재', '회차', '충격', '선사', '회차', '엔딩', '완벽', '선재', '사랑', '사랑', '선재', '중요', '솔이', '본인', '선택', '후회', '선재', '서로', '서로', '구원', '사랑', '이야기', '사랑', '선업', '행복', '월요일', '화요일', '평생', '간직', '행복', '시간']",24,0.7362,"[(15, 0.23300311), (24, 0.73622686)]"
532,532,지긋지긋한 반복과 발암 여주의 대환장.,"['반복', '발암', '여주', '대환']",13,0.6795,"[(0, 0.012820602), (1, 0.012820602), (2, 0.012820602), (3, 0.012820602), (4, 0.012820602), (5, 0.012820602), (6, 0.012820602), (7, 0.012820602), (8, 0.012820602), (9, 0.012820602), (10, 0.012820602), (11, 0.012820602), (12, 0.012820602), (13, 0.6794849), (14, 0.012820602), (15, 0.012820602), (16, 0.012820602), (17, 0.012820602), (18, 0.012820602), (19, 0.012820602), (20, 0.012820602), (21, 0.012820602), (22, 0.012820602), (23, 0.012820602), (24, 0.012820602), (25, 0.012820602)]"
